,wavelength_-1.0V,-1.0V,wavelength_-0.5V,-0.5V,wavelength_0.0V,0.0V,wavelength_0.5V,0.5V,wavelength_1.0V,1.0V,wavelength_1.5V,1.5V,wavelength_2.0V,2.0V,wavelength_2.5V,2.5V,wavelength_3.0V,3.0V
8471,1578.449078,-41.38313011574502,1578.4493060000016,-41.02653869331626,1578.4494819277113,-41.47775417397252,1578.4494650000001,-41.2917322795046,1578.449645,-41.67462691149497,1578.4497849999996,-41.70462605124048,1578.4456849999997,-41.662176619006246,1578.4290050000004,-42.29435908439724,1578.4291550000003,-42.4363153851808
8472,1578.4502439999999,-40.965362533367845,1578.4504690000017,-41.48993108093867,1578.450640963856,-41.44015327527689,1578.450625,-41.60808905225407,1578.45079,-41.444529841250976,1578.4509450000003,,1578.44679,-41.30924927911343,1578.429785,-41.55510327886002,1578.4299500000002,-42.154216550033894
8473,1578.4513720000004,-41.19496627073597,1578.451596,-41.38182542122279,1578.451766265061,-41.60972132829999,1578.4517549999998,-40.81929539406626,1578.4519149999996,-41.29173227950459,1578.4520599999994,-42.97995938622275,1578.447855,-41.61202150489748,1578.43063,-42.008985459884435,1578.4307800000001,-42.30027181718536
8474,1578.452441,-41.247349563240526,1578.4526739999992,-41.60955159647376,1578.4528421686734,-41.76329663652097,1578.4528100000002,-41.44573164039365,1578.4529900000002,-41.26132590737587,1578.4531350000002,-42.010413842587404,1578.4488799999997,-42.079329432730404,1578.43153,-42.798603134474,1578.4316750000003,-41.776238379178054
8475,1578.453480999999,-41.05686584262855,1578.4537009999997,-41.163784857767524,1578.453875903614,-41.83382686707331,1578.45386,-41.363344607442166,1578.45401,-41.35253598672207,1578.45418,-41.540409176959905,1578.4499199999998,-41.647482517106155,1578.4324499999998,-41.623440817431664,1578.4326099999998,-41.8543414914751
8476,1578.4544040000007,-41.51646502364927,1578.4546320000002,-41.28406717166631,1578.4548108433746,-41.56092595861373,1578.4548,-41.77439197251512,1578.4549550000004,-41.98306471330425,1578.4551049999998,-41.422666431764966,1578.4508700000001,-41.45939579906523,1578.433485,-42.25947612375994,1578.43363,-42.78612673586463
8477,1578.4553099999998,-41.12416019859491,1578.455534,-41.32134699397329,1578.4557144578318,-41.7563045518695,1578.455705,-41.58463845990817,1578.45586,-41.751313708129224,1578.4560099999994,-41.88451351846696,1578.4518000000003,-41.66159856743489,1578.4345449999998,-41.40964688061367,1578.4347100000002,-42.59587576671571
8478,1578.4561520000002,-41.220301786269566,1578.4563759999992,-41.27222909762073,1578.4565578313254,-41.45323284988082,1578.4565400000001,-41.522205940557036,1578.456715,-41.618319621402826,1578.4568450000002,-41.58671145013142,1578.4526899999998,-41.85800166455823,1578.4356599999999,-41.633013723302916,1578.4358100000004,-42.298843434482386
8479,1578.4569500000007,-41.06215418204937,1578.4571720000008,-41.52003081661133,1578.4573530120476,-41.616930795601675,1578.45734,-41.05428202672934,1578.45751,-41.60196279166287,1578.4576400000005,-41.23050932087269,1578.453565,-41.37534197154771,1578.4368299999999,-41.417432174194325,1578.4369849999998,-41.5626371102142
8480,1578.4577109999996,-41.09386113080338,1578.4579440000005,-40.95569010144213,1578.4581216867466,-41.97165274248235,1578.4581150000001,-41.916573581395554,1578.4582700000003,-41.35516616856771,1578.458425,-41.72055586798943,1578.4544300000002,-42.165635862568095,1578.4380250000002,-42.235401783842704,1578.4381850000002,-42.436926076994894
